form	lemma	POS	morph
ཧྲྃ་		NON_WORD
།༔ ༔		PUNCT
གུ་རུ་	གུ་རུ་	PROPN
འི་	གི་	PART
རྣམ་ཐར་	རྣམ་ཐར་	NOUN
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འི་	གི་	PART
རྒྱན་	རྒྱན་	NOUN
ཕྲེང་	ཕྲེང་	OTHER
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
༔		PUNCT
ཨེ་མ་ཧོ་	ཨེ་མ་ཧོ་	INTJ
༔		PUNCT
རྒྱ་ཆད་	རྒྱ་ཆད་	NO_POS
ཕྱོགས་ལྷུང་	ཕྱོགས་ལྷུང་	NOUN
སྤྲོས་པ་	སྤྲོས་པ་	VERB
བྲལ་བ་	བྲལ་བ་	VERB
འི་	གི་	PART
ཞིང་	ཅིང་	PART
༔		PUNCT
བདེ་ཆེན་	བདེ་ཆེན་	NOUN
པདྨོ་		NON_WORD
བཀོད་པ་	བཀོད་པ་	VERB
འི་	གི་	PART
ཕོ་བྲང་	ཕོ་བྲང་	NOUN
ན་	ནས་	PART
༔		PUNCT
སྐུ་གསུམ་	སྐུ་གསུམ་	OTHER
བདག་ཉིད་	བདག་ཉིད་	NOUN
འོད་	འོད་	NOUN
དཔག་མེད་པ་	དཔག་མེད་པ་	ADJ
ཡི་	གིས་	PART
༔		PUNCT
འཁོར་བ་	འཁོར་བ་	NOUN
འི་	གི་	PART
སེམས་ཅན་	སེམས་ཅན་	NOUN
དམུ་རྒོད་	དམུ་རྒོད་	NO_POS
འདུལ་བ་	འདུལ་བ་	VERB
དང་	དང་	NO_POS
༔		PUNCT
མུ་སྟེགས་	མུ་སྟེགས་	NOUN
ལྟ་བ་	ལྟ་བ་	VERB
ལོག་པ་	ལོག་པ་	VERB
ཚ་	ཚ་	VERB
བཅད་	བཅད་	VERB
ན་	ནས་	PART
༔		PUNCT
ཡང་དག་	ཡང་དག་	ADJ
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
སྒྲོན་མེ་	སྒྲོན་མེ་	NOUN
སྦར་བ་	སྦར་བ་	VERB
འི་	གི་	PART
ཕྱི་	ཕྱི་	OTHER
༔		PUNCT
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
སྤྲུལ་པ་	སྤྲུལ་པ་	VERB
འི་	གི་	PART
མཆོག་	མཆོག་	ADJ
ཅིག་	ཅིག་	PART
འགྱེད་པ་	འགྱེད་པ་	VERB
ར་	ལ་	PART
དགོངས་	དགོངས་	VERB
༔		PUNCT
དེ་ཡང་	དེ་ཡང་	ADV
མངལ་སྐྱེས་	མངལ་སྐྱེས་	NOUN
ཞིག་	ཅིག་	PART
གིས་	གིས་	PART
མི་	མི་	PART
འདུལ་བ་	འདུལ་བ་	VERB
ས་	གིས་	PART
༔		PUNCT
བརྫུས་	བརྫུས་	NO_POS
སྐྱེས་ལྷ་	སྐྱེས་ལྷ་	NO_POS
འདྲེ་	འདྲེ་	NOUN
མི་	མི་	PART
གསུམ་	གསུམ་	NUM
ཐམས་ཅད་	ཐམས་ཅད་	DET
ཀུན་	ཀུན་	DET
༔		PUNCT
དབང་	དབང་	NOUN
དང་	དང་	NO_POS
དྲག་པོ་	དྲག་པོ་	ADJ
འི་	གི་	PART
ལ་	ལ་	ADP
ས་	གིས་	PART
ཀྱིས་	གིས་	PART
འདུལ་བ་	འདུལ་བ་	VERB
འི་	གི་	PART
ཕྱི་	ཕྱི་	OTHER
༔		PUNCT
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འི་	གི་	PART
ཐུགས་	ཐུགས་	NOUN
ཀྱི་	གི་	PART
དཀྱིལ་འཁོར་	དཀྱིལ་འཁོར་	NOUN
ན་	ནས་	PART
༔		PUNCT
པདྨ་	པདྨ་	NOUN
བདག་ཉིད་	བདག་ཉིད་	NOUN
ཧྲཱིཿ་		NON_WORD
ཡིག་	ཡིག་	NOUN
ཚུལ་	ཚུལ་	NOUN
དུ་	ལ་	PART
སྤྲུལ་	སྤྲུལ་	VERB
༔		PUNCT
དྲི་མེད་	དྲི་མེད་	ADJ
བརྒྱད་	བརྒྱད་	NUM
ལྡན་	ལྡན་	VERB
ཀོ་ཤ་	ཀོ་ཤ་	NO_POS
འི་	གི་	PART
མཚོ་	མཚོ་	NOUN
གླིང་	གླིང་	NOUN
དུ་	ལ་	PART
༔		PUNCT
མ་	མ་	PART
ཆགས་	ཆགས་	VERB
པདྨ་	པདྨ་	NOUN
གེ་སར་	གེ་སར་	PROPN
སྦུབས་	སྦུབས་	NOUN
སུ་	ལ་	PART
བལྟམས་	བལྟམས་	NO_POS
༔		PUNCT
མེ་ཏོག་	མེ་ཏོག་	NOUN
ཚད་	ཚད་	NOUN
ནི་	ནི་	NO_POS
ཤིང་རྟ་	ཤིང་རྟ་	NOUN
འི་	གི་	PART
འཕང་ལོ་	འཕང་ལོ་	NOUN
ཙམ་	ཙམ་	DET
༔		PUNCT
འོད་	འོད་	NOUN
དང་	དང་	NO_POS
གཟི་བརྗིད་	གཟི་བརྗིད་	NOUN
ཤིན་ཏུ་	ཤིན་ཏུ་	NO_POS
འབར་བ་	འབར་བ་	VERB
ལ་	ལ་	PART
༔		PUNCT
ཉིན་	ཉིན་	NOUN
མོ་	མོ་	PRON
ར་	ལ་	PART
ཉི་མ་	ཉི་མ་	NOUN
འི་	གི་	PART
འོད་	འོད་	NOUN
ཀྱིས་	གིས་	PART
སྟེང་	སྟེང་	NOUN
དུ་	ལ་	PART
འབྱིན་	འབྱིན་	VERB
༔		PUNCT
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
བྱིན་	བྱིན་	VERB
ལེགས་	ལེགས་	VERB
མཛེས་པ་	མཛེས་པ་	VERB
ར་	ལ་	PART
བྱེད་	བྱེད་	VERB
༔		PUNCT
མཚན་མོ་	མཚན་མོ་	ADV
ར་	ལ་	PART
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
འི་	གི་	PART
ཁ་	ཁ་	PRON
ར་	ལ་	PART
ཐོན་	ཐོན་	VERB
འཇའ་འོད་	འཇའ་འོད་	NOUN
འཁྲིགས་	འཁྲིགས་	NO_POS
༔		PUNCT
གེ་སར་	གེ་སར་	PROPN
མེ་ཏོག་	མེ་ཏོག་	NOUN
གཞན་	གཞན་	DET
རྣམས་	རྣམས་	DET
ཐམས་ཅད་	ཐམས་ཅད་	DET
ཀུན་	ཀུན་	DET
༔		PUNCT
ལོ་	གོ་	PART
རེ་	རེ་	DET
བཞིན་	བཞིན་	NOUN
དུ་	ལ་	PART
གསར་རྙིང་	གསར་རྙིང་	OTHER
བརྗེ་	བརྗེ་	NO_POS
ན་	ནས་	PART
སྐྱེ་	སྐྱེ་	NOUN
༔		PUNCT
མཚོ་	མཚོ་	NOUN
དཀྱིལ་	དཀྱིལ་	NOUN
ཨུ་	ཨུ་	NO_POS
དུམྦ་		NON_WORD
ར་	ར་	ADP
འི་	གི་	PART
སྡོང་པོ་	སྡོང་པོ་	NOUN
ནི་	ནི་	NO_POS
༔		PUNCT
དབྱར་	དབྱར་	ADV
དགུན་	དགུན་	ADV
གཉིས་	གཉིས་	NUM
ལ་ད་	ལ་ད་	PROPN
ར་	ལ་	PART
རྒུད་	རྒུད་	VERB
མ་	མ་	PART
བྱུང་	བྱུང་	VERB
ཞིང་	ཅིང་	PART
༔		PUNCT
ཁ་	ཁ་	PRON
ཡང་	ཀྱང་	PART
མ་	མ་	PART
བྱེ་	བྱེ་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
ངོ་མཚར་	ངོ་མཚར་	ADJ
སྐྱེ་	སྐྱེ་	VERB
༔		PUNCT
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
འི་	གི་	PART
ཕོ་ཉ་བ་	ཕོ་ཉ་བ་	NOUN
ཡི་	གིས་	PART
མཐོང་	མཐོང་	VERB
ན་	ནས་	PART
སུ་	ལ་	PART
༔		PUNCT
དེ་ལྟ་	དེ་ལྟ་	NO_POS
འདུག་པ་	འདུག་པ་	VERB
རྗེ་	རྗེ་	NO_POS
ཡི་	གི་	PART
སྙན་	སྙན་	NOUN
དུ་	ལ་	PART
གསོལ་	གསོལ་	VERB
༔		PUNCT
བློན་	བློན་	NO_POS
ལ་	ལ་	PART
གྲོ་	གྲོ་	NOUN
བྱ་	བྱ་	VERB
བྱ་ར་	བྱ་ར་	NOUN
གྱིས་	གིས་	PART
ཤིག་	ཅིག་	PART
གསུངས་	གསུངས་	VERB
༔		PUNCT
གེ་སར་	གེ་སར་	PROPN
པདྨ་	པདྨ་	NOUN
འི་	གི་	PART
སྡོང་པོ་	སྡོང་པོ་	NOUN
དེ་ཉིད་	དེ་ཉིད་	NOUN
ལ་	ལ་	PART
༔		PUNCT
ཉིན་མཚན་	ཉིན་མཚན་	ADV
རྒྱུན་	རྒྱུན་	NOUN
དུ་	ལ་	PART
ཐུན་	ཐུན་	NOUN
བཟུང་	བཟུང་	NO_POS
བསྲུང་བ་	བསྲུང་བ་	VERB
ར་	ལ་	PART
གྱུར་	གྱུར་	VERB
༔		PUNCT
སྤྲེལ་	སྤྲེལ་	NO_POS
ལོ་	གོ་	PART
སྤྲེལ་ཟླ་	སྤྲེལ་ཟླ་	NO_POS
ར་བ་	ར་བ་	NOUN
འི་	གི་	PART
ཚེས་བཅུ་	ཚེས་བཅུ་	OTHER
ཉིན་	ཉིན་	NOUN
༔		PUNCT
པདྨ་	པདྨ་	NOUN
འི་	གི་	PART
སྡོང་པོ་	སྡོང་པོ་	NOUN
ཁ་	ཁ་	PRON
བྱེ་	བྱེ་	NOUN
ཟེའུ་འབྲུ་	ཟེའུ་འབྲུ་	NOUN
འི་	གི་	PART
དབུ་	དབུ་	NOUN
༔		PUNCT
ཁྱེའུ་	ཁྱེའུ་	NOUN
ལྟ་	ལྟ་	NOUN
སྡུག་	སྡུག་	VERB
མཛེས་པ་	མཛེས་པ་	VERB
ཞིག་	ཅིག་	PART
བཞུགས་པ་	བཞུགས་པ་	VERB
ས་	གིས་	PART
༔		PUNCT
གནམ་	གནམ་	NOUN
ལ་	ལ་	PART
འཇའ་	འཇའ་	NOUN
ཤ་	ཤ་	VERB
མེ་ཏོག་	མེ་ཏོག་	NOUN
ཆར་པ་	ཆར་པ་	OTHER
བབ་	བབ་	VERB
༔		PUNCT
འབྲུག་	འབྲུག་	NOUN
གི་	གི་	PART
སྒྲ་	སྒྲ་	NOUN
ལྡིར་	ལྡིར་	NO_POS
ས་གཡོ་	ས་གཡོ་	NO_POS
ས་	གིས་	PART
ལྟས་བཟང་	ལྟས་བཟང་	NO_POS
བྱུང་	བྱུང་	VERB
༔		PUNCT
ལྷོ་ཕྱོགས་	ལྷོ་ཕྱོགས་	NOUN
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
འཁོར་བཅས་	འཁོར་བཅས་	ADJ
རྣམས་	རྣམས་	DET
༔		PUNCT
ཡིད་	ཡིད་	NOUN
མ་	མ་	PART
ཆེ་	ཆེ་	VERB
ན་	ནས་	PART
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
འི་	གི་	PART
ཁ་རུ་	ཁ་རུ་	NO_POS
འོང་	འོང་	VERB
༔		PUNCT
ཁྱེའུ་	ཁྱེའུ་	NOUN
ལྟ་	ལྟ་	NOUN
སྡུག་	སྡུག་	VERB
ཟིལ་པ་	ཟིལ་པ་	OTHER
ཁྲོམ་	ཁྲོམ་	NOUN
མེ་	མེ་	NOUN
ར་	ལ་	PART
མཐོང་	མཐོང་	VERB
༔		PUNCT
ངོ་མཚར་	ངོ་མཚར་	ADJ
སྐྱེ་	སྐྱེ་	VERB
ན་	ནས་	PART
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
བསྟོད་པ་	བསྟོད་པ་	VERB
བྱ་	བྱ་	VERB
༔		PUNCT
བུ་	བུ་	NOUN
སྐལ་	སྐལ་	NOUN
ཡིན་	ཡིན་	NO_POS
སྲིད་	སྲིད་	NOUN
ཁྱེ་	ཁྱེ་	VERB
སྙམ་	སྙམ་	VERB
གྲུ་	གྲུ་	NOUN
བཙུགས་	བཙུགས་	NO_POS
ན་	ནས་	PART
༔		PUNCT
ཕྱིན་	ཕྱིན་	VERB
ཡང་	ཀྱང་	PART
མ་	མ་	PART
ཐ་	ཐ་	VERB
རང་	རང་	PRON
གི་	གི་	PART
ཡུལ་	ཡུལ་	NOUN
དུ་	ལ་	PART
ལོག་	ལོག་	VERB
༔		PUNCT
