form	lemma	POS	morph
༄༅། །		PUNCT
ཏཱ་ར་	ཏཱ་ར་	PROPN
ནཱ་	ནཱ་	NO_POS
ཐ་	ཐ་	NOUN
འི་	གི་	PART
རྣམ་ཐར་	རྣམ་ཐར་	NOUN
རགས་	རགས་	VERB
བསྡུ་	བསྡུ་	VERB
བཞུགས་	བཞུགས་	VERB
།		PUNCT
ཇོ་	ཇོ་	NO_POS
ནང་རྗེ་	ནང་རྗེ་	NO_POS
བཙུན་	བཙུན་	VERB
ཀུན་དགའ་	ཀུན་དགའ་	PROPN
སྙིང་པོ་	སྙིང་པོ་	NOUN
འམ་	གམ་	PART
ཡོངས་གྲགས་	ཡོངས་གྲགས་	ADJ
སུ་	ལ་	PART
རྗེ་	རྗེ་	NO_POS
ཏཱ་ར་	ཏཱ་ར་	PROPN
ནཱ་	ནཱ་	NO_POS
ཐ་	ཐ་	NOUN
མཆོག་	མཆོག་	ADJ
ནི་	ནི་	NO_POS
།		PUNCT
ཡབ་	ཡབ་	NOUN
རྭ་ལོ་	རྭ་ལོ་	NO_POS
འི་	གི་	PART
གདུང་	གདུང་	NOUN
བརྒྱུད་	བརྒྱུད་	NO_POS
རྣམ་རྒྱལ་	རྣམ་རྒྱལ་	NOUN
ཕུན་	ཕུན་	NO_POS
ཚིགས་	ཚིགས་	NOUN
དང་	དང་	NO_POS
།		PUNCT
ཡུམ་	ཡུམ་	NOUN
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
བུ་	བུ་	NOUN
དགའ་	དགའ་	VERB
ལྷ་མོ་	ལྷ་མོ་	NOUN
གཉིས་	གཉིས་	NUM
ཀྱི་	གི་	PART
སྲ་	སྲ་	NOUN
སུ་	ལ་	PART
རབ་བྱུང་	རབ་བྱུང་	NOUN
བཅུ་པ་	བཅུ་པ་	NUM
འི་	གི་	PART
ཤིང་	ཅིང་	PART
ཕག་ལོ་	ཕག་ལོ་	NO_POS
འི་	གི་	PART
ཧོར་	ཧོར་	PROPN
ཟླ་	ཟླ་	NOUN
དྲུག་པ་	དྲུག་པ་	NUM
འི་	གི་	PART
ཚེ་	ཚེ་	NOUN
བརྒྱད་	བརྒྱད་	NUM
