form	lemma	POS	morph
༄༅།		PUNCT
		
།		PUNCT
ཀུན་མཁྱེན་	ཀུན་མཁྱེན་	OTHER
འཇམ་དབྱངས་	འཇམ་དབྱངས་	PROPN
མཁྱེན་བརྩེ་	མཁྱེན་བརྩེ་	PROPN
འི་	གི་	PART
དབང་པོ་	དབང་པོ་	NOUN
འི་	གི་	PART
རྣམ་ཐར་	རྣམ་ཐར་	NOUN
གསོལ་འདེབས་	གསོལ་འདེབས་	NOUN
བཀྲ་ཤིས་	བཀྲ་ཤིས་	NOUN
འཁྱིལ་བ་	འཁྱིལ་བ་	NO_POS
འི་	གི་	PART
སྒྲ་དབྱངས་	སྒྲ་དབྱངས་	NOUN
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
བཞུགས་	བཞུགས་	VERB
།།		PUNCT
ཇི་ལྟ་	ཇི་ལྟ་	ADJ
ཇི་སྙེད་	ཇི་སྙེད་	OTHER
ཤེས་བྱ་	ཤེས་བྱ་	VERB
ཐམས་ཅད་	ཐམས་ཅད་	DET
མཁྱེན་	མཁྱེན་	VERB
།		PUNCT
		
།		PUNCT
དམིགས་མེད་	དམིགས་མེད་	NO_POS
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
ས་	གིས་	PART
འགྲོ་	འགྲོ་	VERB
ལ་	ལ་	PART
བུ་	བུ་	NOUN
ལྟ་	ལྟ་	OTHER
དགོངས་	དགོངས་	VERB
།		PUNCT
		
།		PUNCT
འཁོར་བ་	འཁོར་བ་	NOUN
དོང་	དོང་	VERB
སྤྲུགས་	སྤྲུགས་	VERB
ནུས་པ་	ནུས་པ་	VERB
འི་	གི་	PART
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
རྒྱལ་	རྒྱལ་	VERB
།		PUNCT
		
།		PUNCT
མཁྱེན་བརྩེ་	མཁྱེན་བརྩེ་	PROPN
འི་	གི་	PART
དབང་པོ་	དབང་པོ་	NOUN
འི་	གི་	PART
ཞབས་	ཞབས་	NOUN
ལ་	ལ་	PART
གསོལ་བ་	གསོལ་བ་	VERB
འདེབས་	འདེབས་	VERB
།		PUNCT
		
།		PUNCT
རྒྱལ་བ་	རྒྱལ་བ་	NOUN
འི་	གི་	PART
ཡབ་	ཡབ་	NOUN
གཅིག་	གཅིག་	NUM
རྗེ་བཙུན་	རྗེ་བཙུན་	NOUN
འཇམ་པ་	འཇམ་པ་	VERB
འི་	གི་	PART
དབྱངས་	དབྱངས་	NOUN
།		PUNCT
		
།		PUNCT
གང་	གང་	NO_POS
འདུལ་	འདུལ་	NO_POS
རྣམ་	རྣམ་	NOUN
རོལ་	རོལ་	VERB
ཆོས་དབྱིངས་	ཆོས་དབྱིངས་	NOUN
ཁྱབ་པ་	ཁྱབ་པ་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
		
།		PUNCT
སྙིགས་དུས་	སྙིགས་དུས་	OTHER
བསྟན་འགྲོ་	བསྟན་འགྲོ་	OTHER
སྐྱོབ་པ་	སྐྱོབ་པ་	VERB
འི་	གི་	PART
དཔལ་མགོན་	དཔལ་མགོན་	OTHER
དུ་	ལ་	PART
།		PUNCT
		
།		PUNCT
བསམ་བཞིན་	བསམ་བཞིན་	NO_POS
སྐྱེ་བ་	སྐྱེ་བ་	VERB
བཞེས་	བཞེས་	VERB
ལ་	ལ་	PART
གསོལ་བ་	གསོལ་བ་	VERB
འདེབས་	འདེབས་	VERB
།		PUNCT
		
།		PUNCT
མདོ་སྨད་	མདོ་སྨད་	OTHER
སྡེ་	སྡེ་	NOUN
བཞི་	བཞི་	NUM
དགེ་	དགེ་	NOUN
བཅུ་	བཅུ་	NUM
འི་	གི་	PART
སྨན་	སྨན་	NOUN
གྱི་	གི་	PART
ལྗོངས་	ལྗོངས་	NOUN
།		PUNCT
		
།		PUNCT
ཕྲིན་ལས་	ཕྲིན་ལས་	NOUN
འགྲོ་	འགྲོ་	VERB
འདུལ་	འདུལ་	NO_POS
སྤྲུལ་པ་	སྤྲུལ་པ་	VERB
འི་	གི་	PART
གནས་	གནས་	NOUN
ཀྱི་	གི་	PART
ཆ་	ཆ་	NOUN
ར་	ལ་	PART
།		PUNCT
		
།		PUNCT
རྣམ་དག་	རྣམ་དག་	ADJ
རིགས་	རིགས་	NOUN
སོགས་	སོགས་	DET
མཆོག་	མཆོག་	ADJ
གི་	གི་	PART
གཟིགས་པ་	གཟིགས་པ་	VERB
ལྔ་	ལྔ་	NUM
ས་	གིས་	PART
།		PUNCT
		
།		PUNCT
སྤྲུལ་པ་	སྤྲུལ་པ་	VERB
འི་	གི་	PART
སྐུ་	སྐུ་	NOUN
རུ་	ལ་	PART
བསྟན་	བསྟན་	VERB
ལ་	ལ་	PART
གསོལ་བ་	གསོལ་བ་	VERB
འདེབས་	འདེབས་	VERB
།		PUNCT
		
།		PUNCT
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
བརྙེས་པ་	བརྙེས་པ་	VERB
འི་	གི་	PART
རྣམ་འདྲེན་	རྣམ་འདྲེན་	OTHER
མཆོག་	མཆོག་	ADJ
རྣམས་	རྣམས་	DET
ཀྱིས་	གིས་	PART
།		PUNCT
		
།		PUNCT
དམ་པ་	དམ་པ་	VERB
འི་	གི་	PART
སྐྱེས་བུ་	སྐྱེས་བུ་	NOUN
ར་	ལ་	PART
མགྲིན་	མགྲིན་	NOUN
གཅིག་	གཅིག་	NUM
ལུང་བསྟན་	ལུང་བསྟན་	NOUN
ཅིང་	ཅིང་	PART
།		PUNCT
		
།		PUNCT
ཕལ་པ་	ཕལ་པ་	NOUN
འི་	གི་	PART
སྤྱོད་	སྤྱོད་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
འདའ་	འདའ་	VERB
ཕྱི་	ཕྱི་	OTHER
ལྷ་	ལྷ་	NOUN
མི་	མི་	PART
ཀུན་	ཀུན་	DET
།		PUNCT
		
།		PUNCT
འགྲོ་བ་	འགྲོ་བ་	VERB
འི་	གི་	PART
མགོན་	མགོན་	NOUN
དུ་	ལ་	PART
བསྔགས་	བསྔགས་	VERB
ལ་	ལ་	PART
གསོལ་བ་	གསོལ་བ་	VERB
འདེབས་	འདེབས་	VERB
།		PUNCT
		
།		PUNCT
དབུ་	དབུ་	NOUN
གཙང་	གཙང་	PROPN
བོད་	བོད་	PROPN
ཆེན་	ཆེན་	NO_POS
ཀུན་	ཀུན་	DET
ཏུ་	ལ་	PART
ཞབས་	ཞབས་	NOUN
ཀྱིས་	གིས་	PART
བཅགས་	བཅགས་	NO_POS
།		PUNCT
		
།		PUNCT
མཉེས་པ་	མཉེས་པ་	VERB
གསུམ་	གསུམ་	NUM
གྱིས་	གིས་	PART
ཡོངས་འཛིན་	ཡོངས་འཛིན་	OTHER
བརྒྱ་	བརྒྱ་	NUM
ལྷག་	ལྷག་	NOUN
བསྟེན་	བསྟེན་	VERB
།		PUNCT
		
།		PUNCT
སྐྱོ་ངལ་	སྐྱོ་ངལ་	NO_POS
མེད་པ་	མེད་པ་	VERB
ར་	ལ་	PART
དམ་ཆོས་	དམ་ཆོས་	NOUN
ཡོངས་སུ་	ཡོངས་སུ་	NO_POS
འཚོལ་	འཚོལ་	VERB
།		PUNCT
		
།		PUNCT
